order_id,tanggal,kategori,kota,unit_terjual,harga_satuan,metode_pembayaran
ORD-1026,2026-07-20T00:00:00.000000,Fashion,Yogyakarta,9,50000,Kartu Kredit
ORD-1027,2026-07-24T00:00:00.000000,Fashion,Solo,1,50000,Kartu Kredit
ORD-1028,2026-07-15T00:00:00.000000,Rumah Tangga,Magelang,7,75000,Transfer Bank
ORD-1029,2026-07-20T00:00:00.000000,Rumah Tangga,Magelang,8,150000,COD
ORD-1030,2026-07-30T00:00:00.000000,Kesehatan & Kecantikan,Semarang,3,50000,Transfer Bank
ORD-1031,2026-07-19T00:00:00.000000,Kesehatan & Kecantikan,Yogyakarta,4,75000,Transfer Bank
ORD-1032,2026-07-30T00:00:00.000000,Makanan & Minuman,Solo,5,150000,COD
ORD-1033,2026-07-12T00:00:00.000000,Makanan & Minuman,Solo,7,100000,Kartu Kredit
ORD-1034,2026-07-30T00:00:00.000000,Makanan & Minuman,Solo,6,50000,Kartu Kredit
ORD-1035,2026-07-09T00:00:00.000000,Elektronik,Purworejo,7,150000,Transfer Bank
ORD-1036,2026-07-28T00:00:00.000000,Fashion,Magelang,4,500000,Transfer Bank
ORD-1037,2026-07-01T00:00:00.000000,Elektronik,Solo,3,250000,E-Wallet
ORD-1038,2026-07-22T00:00:00.000000,Rumah Tangga,Yogyakarta,9,50000,Kartu Kredit
ORD-1039,2026-07-12T00:00:00.000000,Kesehatan & Kecantikan,Purworejo,4,25000,E-Wallet
ORD-1040,2026-07-01T00:00:00.000000,Kesehatan & Kecantikan,Magelang,6,500000,Transfer Bank
ORD-1041,2026-07-22T00:00:00.000000,Rumah Tangga,Solo,3,100000,E-Wallet
ORD-1042,2026-07-28T00:00:00.000000,Fashion,Purworejo,5,250000,E-Wallet
ORD-1043,2026-07-07T00:00:00.000000,Rumah Tangga,Solo,1,500000,COD
ORD-1044,2026-07-15T00:00:00.000000,Kesehatan & Kecantikan,Solo,4,25000,Kartu Kredit
ORD-1045,2026-07-16T00:00:00.000000,Kesehatan & Kecantikan,Magelang,6,25000,COD
ORD-1046,2026-07-31T00:00:00.000000,Elektronik,Yogyakarta,7,150000,COD
ORD-1047,2026-07-08T00:00:00.000000,Rumah Tangga,Purworejo,6,75000,Kartu Kredit
ORD-1048,2026-07-06T00:00:00.000000,Makanan & Minuman,Yogyakarta,8,25000,E-Wallet
ORD-1049,2026-07-03T00:00:00.000000,Kesehatan & Kecantikan,Purworejo,8,75000,Transfer Bank
ORD-1050,2026-07-28T00:00:00.000000,Elektronik,Yogyakarta,9,500000,Transfer Bank
ORD-1051,2026-07-06T00:00:00.000000,Makanan & Minuman,Solo,8,100000,Kartu Kredit
ORD-1052,2026-07-22T00:00:00.000000,Fashion,Solo,1,50000,Kartu Kredit
ORD-1053,2026-07-06T00:00:00.000000,Elektronik,Semarang,7,500000,E-Wallet
ORD-1054,2026-07-18T00:00:00.000000,Makanan & Minuman,Semarang,7,150000,Kartu Kredit
ORD-1055,2026-07-22T00:00:00.000000,Fashion,Purworejo,6,250000,COD
ORD-1056,2026-07-12T00:00:00.000000,Kesehatan & Kecantikan,Magelang,9,75000,Kartu Kredit
ORD-1057,2026-07-03T00:00:00.000000,Elektronik,Solo,4,500000,Kartu Kredit
ORD-1058,2026-07-26T00:00:00.000000,Makanan & Minuman,Purworejo,6,75000,E-Wallet
ORD-1059,2026-07-15T00:00:00.000000,Makanan & Minuman,Purworejo,4,150000,Kartu Kredit
ORD-1060,2026-07-24T00:00:00.000000,Kesehatan & Kecantikan,Purworejo,4,250000,Transfer Bank
ORD-1061,2026-07-02T00:00:00.000000,Makanan & Minuman,Purworejo,1,250000,Transfer Bank
ORD-1062,2026-07-19T00:00:00.000000,Elektronik,Purworejo,1,75000,E-Wallet
ORD-1063,2026-07-05T00:00:00.000000,Makanan & Minuman,Magelang,9,25000,Kartu Kredit
ORD-1064,2026-07-16T00:00:00.000000,Kesehatan & Kecantikan,Solo,3,500000,COD
ORD-1065,2026-07-04T00:00:00.000000,Fashion,Semarang,3,150000,E-Wallet
ORD-1066,2026-07-24T00:00:00.000000,Kesehatan & Kecantikan,Solo,3,500000,Kartu Kredit
ORD-1067,2026-07-13T00:00:00.000000,Kesehatan & Kecantikan,Semarang,4,25000,Transfer Bank
ORD-1068,2026-07-06T00:00:00.000000,Fashion,Solo,4,150000,E-Wallet
ORD-1069,2026-07-13T00:00:00.000000,Fashion,Semarang,8,250000,Kartu Kredit
ORD-1070,2026-07-28T00:00:00.000000,Kesehatan & Kecantikan,Semarang,7,50000,E-Wallet
ORD-1071,2026-07-19T00:00:00.000000,Fashion,Purworejo,3,150000,COD
ORD-1072,2026-07-29T00:00:00.000000,Fashion,Magelang,3,25000,COD
ORD-1073,2026-07-29T00:00:00.000000,Kesehatan & Kecantikan,Solo,6,75000,E-Wallet
ORD-1074,2026-07-08T00:00:00.000000,Elektronik,Yogyakarta,3,50000,Transfer Bank
ORD-1075,2026-07-10T00:00:00.000000,Rumah Tangga,Purworejo,7,250000,Kartu Kredit
ORD-1076,2026-07-20T00:00:00.000000,Elektronik,Semarang,9,25000,Kartu Kredit
ORD-1077,2026-07-19T00:00:00.000000,Makanan & Minuman,Solo,1,250000,Transfer Bank
ORD-1078,2026-07-29T00:00:00.000000,Rumah Tangga,Solo,4,500000,E-Wallet
ORD-1079,2026-07-26T00:00:00.000000,Fashion,Purworejo,3,50000,COD
ORD-1080,2026-07-26T00:00:00.000000,Elektronik,Purworejo,6,25000,Kartu Kredit
ORD-1081,2026-07-17T00:00:00.000000,Kesehatan & Kecantikan,Magelang,3,50000,COD
ORD-1082,2026-07-12T00:00:00.000000,Elektronik,Magelang,9,250000,Transfer Bank
ORD-1083,2026-07-20T00:00:00.000000,Kesehatan & Kecantikan,Semarang,1,25000,COD
ORD-1084,2026-07-16T00:00:00.000000,Fashion,Solo,1,150000,Transfer Bank
ORD-1085,2026-07-23T00:00:00.000000,Rumah Tangga,Solo,7,150000,COD
ORD-1086,2026-07-05T00:00:00.000000,Kesehatan & Kecantikan,Yogyakarta,3,150000,COD
ORD-1087,2026-07-26T00:00:00.000000,Makanan & Minuman,Magelang,8,500000,E-Wallet
ORD-1088,2026-07-22T00:00:00.000000,Makanan & Minuman,Yogyakarta,2,150000,COD
ORD-1089,2026-07-30T00:00:00.000000,Fashion,Yogyakarta,7,100000,Kartu Kredit
ORD-1090,2026-07-02T00:00:00.000000,Rumah Tangga,Yogyakarta,7,50000,E-Wallet
ORD-1091,2026-07-04T00:00:00.000000,Fashion,Magelang,3,50000,Transfer Bank
ORD-1092,2026-07-31T00:00:00.000000,Rumah Tangga,Solo,8,100000,Kartu Kredit
ORD-1093,2026-07-23T00:00:00.000000,Fashion,Semarang,5,150000,COD
ORD-1094,2026-07-21T00:00:00.000000,Kesehatan & Kecantikan,Solo,5,50000,Kartu Kredit
ORD-1095,2026-07-16T00:00:00.000000,Makanan & Minuman,Solo,6,150000,Kartu Kredit
ORD-1096,2026-07-06T00:00:00.000000,Fashion,Semarang,4,250000,Kartu Kredit
ORD-1097,2026-07-01T00:00:00.000000,Rumah Tangga,Purworejo,6,75000,E-Wallet
ORD-1098,2026-07-06T00:00:00.000000,Rumah Tangga,Magelang,1,500000,Kartu Kredit
ORD-1099,2026-07-04T00:00:00.000000,Rumah Tangga,Purworejo,8,50000,E-Wallet
ORD-1100,2026-07-20T00:00:00.000000,Kesehatan & Kecantikan,Yogyakarta,8,75000,Transfer Bank
ORD-1101,2026-07-25T00:00:00.000000,Rumah Tangga,Solo,5,75000,COD
ORD-1102,2026-07-17T00:00:00.000000,Kesehatan & Kecantikan,Purworejo,3,500000,E-Wallet
ORD-1103,2026-07-09T00:00:00.000000,Kesehatan & Kecantikan,Yogyakarta,9,75000,E-Wallet
ORD-1104,2026-07-14T00:00:00.000000,Fashion,Purworejo,3,25000,E-Wallet
ORD-1105,2026-07-20T00:00:00.000000,Fashion,Semarang,3,75000,COD
ORD-1106,2026-07-14T00:00:00.000000,Makanan & Minuman,Magelang,8,500000,E-Wallet
ORD-1107,2026-07-14T00:00:00.000000,Kesehatan & Kecantikan,Yogyakarta,5,100000,Kartu Kredit
ORD-1108,2026-07-29T00:00:00.000000,Fashion,Solo,9,500000,E-Wallet
ORD-1109,2026-07-13T00:00:00.000000,Rumah Tangga,Semarang,1,100000,COD
ORD-1110,2026-07-15T00:00:00.000000,Kesehatan & Kecantikan,Purworejo,1,250000,Kartu Kredit
ORD-1111,2026-07-06T00:00:00.000000,Fashion,Magelang,4,250000,E-Wallet
ORD-1112,2026-07-19T00:00:00.000000,Elektronik,Semarang,5,250000,COD
ORD-1113,2026-07-15T00:00:00.000000,Kesehatan & Kecantikan,Solo,1,75000,Transfer Bank
ORD-1114,2026-07-24T00:00:00.000000,Rumah Tangga,Magelang,8,500000,COD
ORD-1115,2026-07-10T00:00:00.000000,Rumah Tangga,Semarang,3,25000,E-Wallet
ORD-1116,2026-07-22T00:00:00.000000,Elektronik,Purworejo,9,150000,COD
ORD-1117,2026-07-03T00:00:00.000000,Rumah Tangga,Solo,9,100000,COD
ORD-1118,2026-07-05T00:00:00.000000,Fashion,Yogyakarta,8,75000,COD
ORD-1119,2026-07-14T00:00:00.000000,Fashion,Magelang,8,250000,COD
ORD-1120,2026-07-13T00:00:00.000000,Makanan & Minuman,Semarang,2,250000,Kartu Kredit
ORD-1121,2026-07-02T00:00:00.000000,Makanan & Minuman,Semarang,1,250000,E-Wallet
ORD-1122,2026-07-06T00:00:00.000000,Elektronik,Yogyakarta,4,50000,E-Wallet
ORD-1123,2026-07-10T00:00:00.000000,Makanan & Minuman,Semarang,7,250000,Transfer Bank
ORD-1124,2026-07-19T00:00:00.000000,Fashion,Semarang,2,100000,Transfer Bank
ORD-1125,2026-07-16T00:00:00.000000,Makanan & Minuman,Solo,5,150000,Transfer Bank
ORD-1126,2026-07-14T00:00:00.000000,Fashion,Solo,6,150000,Transfer Bank
ORD-1127,2026-07-19T00:00:00.000000,Rumah Tangga,Purworejo,1,50000,E-Wallet
ORD-1128,2026-07-19T00:00:00.000000,Fashion,Magelang,1,150000,COD
ORD-1129,2026-07-06T00:00:00.000000,Rumah Tangga,Purworejo,3,75000,E-Wallet
ORD-1130,2026-07-31T00:00:00.000000,Fashion,Magelang,2,25000,Transfer Bank
ORD-1131,2026-07-04T00:00:00.000000,Kesehatan & Kecantikan,Magelang,3,500000,COD
ORD-1132,2026-07-27T00:00:00.000000,Fashion,Purworejo,6,250000,COD
ORD-1133,2026-07-07T00:00:00.000000,Kesehatan & Kecantikan,Solo,6,150000,Transfer Bank
ORD-1134,2026-07-25T00:00:00.000000,Fashion,Purworejo,5,75000,E-Wallet
ORD-1135,2026-07-20T00:00:00.000000,Kesehatan & Kecantikan,Magelang,1,25000,COD
ORD-1136,2026-07-08T00:00:00.000000,Elektronik,Purworejo,8,250000,Transfer Bank
ORD-1137,2026-07-07T00:00:00.000000,Elektronik,Yogyakarta,7,150000,Transfer Bank
ORD-1138,2026-07-21T00:00:00.000000,Kesehatan & Kecantikan,Solo,7,250000,COD
ORD-1139,2026-07-23T00:00:00.000000,Fashion,Magelang,3,25000,Kartu Kredit
ORD-1140,2026-07-09T00:00:00.000000,Fashion,Solo,4,100000,COD
ORD-1141,2026-07-17T00:00:00.000000,Fashion,Purworejo,5,25000,Kartu Kredit
ORD-1142,2026-07-22T00:00:00.000000,Fashion,Magelang,6,250000,Kartu Kredit
ORD-1143,2026-07-19T00:00:00.000000,Rumah Tangga,Semarang,4,100000,Kartu Kredit
ORD-1144,2026-07-16T00:00:00.000000,Makanan & Minuman,Yogyakarta,8,50000,Kartu Kredit
ORD-1145,2026-07-31T00:00:00.000000,Fashion,Purworejo,2,250000,E-Wallet
ORD-1146,2026-07-13T00:00:00.000000,Makanan & Minuman,Yogyakarta,1,500000,Kartu Kredit
ORD-1147,2026-07-29T00:00:00.000000,Kesehatan & Kecantikan,Purworejo,6,500000,E-Wallet
ORD-1148,2026-07-10T00:00:00.000000,Elektronik,Yogyakarta,2,100000,COD
ORD-1149,2026-07-19T00:00:00.000000,Rumah Tangga,Purworejo,7,250000,E-Wallet
ORD-1150,2026-07-18T00:00:00.000000,Makanan & Minuman,Semarang,4,75000,Transfer Bank
ORD-1151,2026-07-19T00:00:00.000000,Elektronik,Magelang,9,500000,E-Wallet
ORD-1152,2026-07-18T00:00:00.000000,Elektronik,Purworejo,2,50000,Transfer Bank
ORD-1153,2026-07-01T00:00:00.000000,Rumah Tangga,Semarang,1,100000,Transfer Bank
ORD-1154,2026-07-20T00:00:00.000000,Elektronik,Purworejo,6,150000,COD
ORD-1155,2026-07-08T00:00:00.000000,Elektronik,Yogyakarta,5,100000,COD
ORD-1156,2026-07-10T00:00:00.000000,Makanan & Minuman,Semarang,9,500000,COD
ORD-1157,2026-07-21T00:00:00.000000,Kesehatan & Kecantikan,Yogyakarta,2,100000,E-Wallet
ORD-1158,2026-07-08T00:00:00.000000,Kesehatan & Kecantikan,Semarang,2,500000,E-Wallet
ORD-1159,2026-07-11T00:00:00.000000,Fashion,Purworejo,1,500000,Transfer Bank
ORD-1160,2026-07-05T00:00:00.000000,Makanan & Minuman,Semarang,9,250000,COD
ORD-1161,2026-07-27T00:00:00.000000,Kesehatan & Kecantikan,Yogyakarta,8,75000,COD
ORD-1162,2026-07-12T00:00:00.000000,Kesehatan & Kecantikan,Yogyakarta,7,100000,E-Wallet
ORD-1163,2026-07-15T00:00:00.000000,Elektronik,Solo,2,50000,Kartu Kredit
ORD-1164,2026-07-28T00:00:00.000000,Makanan & Minuman,Solo,5,50000,Kartu Kredit
ORD-1165,2026-07-17T00:00:00.000000,Makanan & Minuman,Solo,6,100000,Kartu Kredit
ORD-1166,2026-07-27T00:00:00.000000,Makanan & Minuman,Semarang,6,250000,Kartu Kredit
ORD-1167,2026-07-01T00:00:00.000000,Kesehatan & Kecantikan,Magelang,8,50000,E-Wallet
ORD-1168,2026-07-26T00:00:00.000000,Elektronik,Solo,6,50000,E-Wallet
ORD-1169,2026-07-17T00:00:00.000000,Makanan & Minuman,Semarang,2,500000,E-Wallet
ORD-1170,2026-07-30T00:00:00.000000,Rumah Tangga,Yogyakarta,8,25000,E-Wallet
ORD-1171,2026-07-28T00:00:00.000000,Fashion,Magelang,4,25000,COD
ORD-1172,2026-07-30T00:00:00.000000,Rumah Tangga,Solo,6,75000,E-Wallet
ORD-1173,2026-07-02T00:00:00.000000,Rumah Tangga,Purworejo,2,150000,Transfer Bank
ORD-1174,2026-07-03T00:00:00.000000,Rumah Tangga,Semarang,8,150000,COD
ORD-1175,2026-07-28T00:00:00.000000,Kesehatan & Kecantikan,Semarang,8,500000,Transfer Bank
ORD-1176,2026-07-16T00:00:00.000000,Makanan & Minuman,Yogyakarta,1,25000,Transfer Bank
ORD-1177,2026-07-21T00:00:00.000000,Kesehatan & Kecantikan,Yogyakarta,2,50000,Kartu Kredit
ORD-1178,2026-07-01T00:00:00.000000,Elektronik,Solo,1,50000,Transfer Bank
ORD-1179,2026-07-20T00:00:00.000000,Rumah Tangga,Solo,3,250000,Transfer Bank
ORD-1180,2026-07-21T00:00:00.000000,Kesehatan & Kecantikan,Yogyakarta,6,50000,COD
ORD-1181,2026-07-03T00:00:00.000000,Fashion,Yogyakarta,3,250000,Transfer Bank
ORD-1182,2026-07-18T00:00:00.000000,Elektronik,Purworejo,8,25000,Kartu Kredit
ORD-1183,2026-07-23T00:00:00.000000,Elektronik,Purworejo,6,25000,Kartu Kredit
ORD-1184,2026-07-25T00:00:00.000000,Fashion,Solo,4,75000,COD
ORD-1185,2026-07-08T00:00:00.000000,Fashion,Solo,3,100000,E-Wallet
ORD-1186,2026-07-24T00:00:00.000000,Makanan & Minuman,Magelang,3,25000,E-Wallet
ORD-1187,2026-07-13T00:00:00.000000,Kesehatan & Kecantikan,Solo,7,500000,COD
ORD-1188,2026-07-03T00:00:00.000000,Rumah Tangga,Purworejo,6,75000,Kartu Kredit
ORD-1189,2026-07-15T00:00:00.000000,Rumah Tangga,Magelang,8,100000,Transfer Bank
ORD-1190,2026-07-21T00:00:00.000000,Fashion,Solo,3,25000,E-Wallet
ORD-1191,2026-07-31T00:00:00.000000,Elektronik,Purworejo,1,25000,E-Wallet
ORD-1192,2026-07-20T00:00:00.000000,Elektronik,Purworejo,5,150000,COD
ORD-1193,2026-07-21T00:00:00.000000,Kesehatan & Kecantikan,Solo,9,500000,Kartu Kredit
ORD-1194,2026-07-25T00:00:00.000000,Kesehatan & Kecantikan,Solo,1,250000,Transfer Bank
ORD-1195,2026-07-12T00:00:00.000000,Elektronik,Purworejo,7,500000,COD
ORD-1196,2026-07-25T00:00:00.000000,Rumah Tangga,Yogyakarta,1,50000,Kartu Kredit
ORD-1197,2026-07-31T00:00:00.000000,Rumah Tangga,Semarang,2,25000,Transfer Bank
ORD-1198,2026-07-03T00:00:00.000000,Rumah Tangga,Magelang,1,150000,Transfer Bank
ORD-1199,2026-07-02T00:00:00.000000,Makanan & Minuman,Purworejo,4,150000,E-Wallet
ORD-1200,2026-07-05T00:00:00.000000,Rumah Tangga,Solo,6,100000,Kartu Kredit
ORD-1201,2026-07-10T00:00:00.000000,Fashion,Yogyakarta,8,250000,Kartu Kredit
ORD-1202,2026-07-07T00:00:00.000000,Rumah Tangga,Yogyakarta,2,75000,Transfer Bank
ORD-1203,2026-07-01T00:00:00.000000,Elektronik,Magelang,5,500000,COD
ORD-1204,2026-07-04T00:00:00.000000,Kesehatan & Kecantikan,Yogyakarta,1,150000,Kartu Kredit
ORD-1205,2026-07-17T00:00:00.000000,Makanan & Minuman,Magelang,1,500000,COD
ORD-1206,2026-07-28T00:00:00.000000,Kesehatan & Kecantikan,Purworejo,9,25000,Kartu Kredit
ORD-1207,2026-07-26T00:00:00.000000,Rumah Tangga,Magelang,5,250000,Transfer Bank
ORD-1208,2026-07-17T00:00:00.000000,Fashion,Magelang,6,250000,E-Wallet
ORD-1209,2026-07-05T00:00:00.000000,Kesehatan & Kecantikan,Solo,5,25000,Transfer Bank
ORD-1210,2026-07-18T00:00:00.000000,Makanan & Minuman,Semarang,9,75000,E-Wallet
ORD-1211,2026-07-30T00:00:00.000000,Fashion,Solo,6,500000,E-Wallet
ORD-1212,2026-07-23T00:00:00.000000,Fashion,Semarang,6,150000,COD
ORD-1213,2026-07-20T00:00:00.000000,Fashion,Semarang,6,250000,E-Wallet
ORD-1214,2026-07-02T00:00:00.000000,Makanan & Minuman,Semarang,3,50000,Kartu Kredit
ORD-1215,2026-07-13T00:00:00.000000,Rumah Tangga,Magelang,3,50000,E-Wallet
ORD-1216,2026-07-01T00:00:00.000000,Kesehatan & Kecantikan,Solo,5,100000,E-Wallet
ORD-1217,2026-07-17T00:00:00.000000,Makanan & Minuman,Magelang,6,25000,E-Wallet
ORD-1218,2026-07-30T00:00:00.000000,Makanan & Minuman,Magelang,7,50000,Kartu Kredit
ORD-1219,2026-07-17T00:00:00.000000,Kesehatan & Kecantikan,Semarang,9,50000,Kartu Kredit
ORD-1220,2026-07-03T00:00:00.000000,Fashion,Magelang,4,25000,Transfer Bank
ORD-1221,2026-07-04T00:00:00.000000,Rumah Tangga,Magelang,7,500000,E-Wallet
ORD-1222,2026-07-08T00:00:00.000000,Elektronik,Magelang,2,500000,Kartu Kredit
ORD-1223,2026-07-05T00:00:00.000000,Kesehatan & Kecantikan,Semarang,3,50000,E-Wallet
ORD-1224,2026-07-27T00:00:00.000000,Elektronik,Yogyakarta,8,25000,E-Wallet
ORD-1225,2026-07-01T00:00:00.000000,Rumah Tangga,Purworejo,1,75000,Kartu Kredit
ORD-1226,2026-07-10T00:00:00.000000,Rumah Tangga,Semarang,4,75000,Transfer Bank
ORD-1227,2026-07-08T00:00:00.000000,Fashion,Semarang,1,250000,Kartu Kredit
ORD-1228,2026-07-19T00:00:00.000000,Fashion,Purworejo,8,150000,E-Wallet
ORD-1229,2026-07-24T00:00:00.000000,Rumah Tangga,Magelang,1,250000,E-Wallet
ORD-1230,2026-07-04T00:00:00.000000,Rumah Tangga,Solo,2,25000,Transfer Bank
ORD-1231,2026-07-24T00:00:00.000000,Elektronik,Semarang,4,150000,COD
ORD-1232,2026-07-08T00:00:00.000000,Rumah Tangga,Semarang,9,25000,E-Wallet
ORD-1233,2026-07-17T00:00:00.000000,Makanan & Minuman,Purworejo,5,500000,Kartu Kredit
ORD-1234,2026-07-30T00:00:00.000000,Makanan & Minuman,Magelang,7,25000,Transfer Bank
ORD-1235,2026-07-20T00:00:00.000000,Makanan & Minuman,Semarang,1,50000,COD
ORD-1236,2026-07-13T00:00:00.000000,Rumah Tangga,Magelang,4,250000,Kartu Kredit
ORD-1237,2026-07-13T00:00:00.000000,Elektronik,Yogyakarta,4,500000,E-Wallet
ORD-1238,2026-07-30T00:00:00.000000,Rumah Tangga,Yogyakarta,1,250000,Kartu Kredit
ORD-1239,2026-07-17T00:00:00.000000,Elektronik,Magelang,5,150000,E-Wallet
ORD-1240,2026-07-16T00:00:00.000000,Kesehatan & Kecantikan,Solo,7,75000,E-Wallet
ORD-1241,2026-07-12T00:00:00.000000,Makanan & Minuman,Purworejo,3,25000,COD
ORD-1242,2026-07-02T00:00:00.000000,Kesehatan & Kecantikan,Yogyakarta,8,150000,COD
ORD-1243,2026-07-22T00:00:00.000000,Makanan & Minuman,Purworejo,1,25000,E-Wallet
ORD-1244,2026-07-26T00:00:00.000000,Elektronik,Semarang,7,25000,COD
ORD-1245,2026-07-03T00:00:00.000000,Kesehatan & Kecantikan,Magelang,1,100000,Kartu Kredit
ORD-1246,2026-07-18T00:00:00.000000,Rumah Tangga,Purworejo,1,50000,Kartu Kredit
ORD-1247,2026-07-30T00:00:00.000000,Makanan & Minuman,Magelang,8,500000,Transfer Bank
ORD-1248,2026-07-13T00:00:00.000000,Elektronik,Magelang,4,25000,Kartu Kredit
ORD-1249,2026-07-13T00:00:00.000000,Kesehatan & Kecantikan,Semarang,4,100000,Kartu Kredit
ORD-1250,2026-07-23T00:00:00.000000,Elektronik,Magelang,6,250000,COD
ORD-1251,2026-07-05T00:00:00.000000,Rumah Tangga,Yogyakarta,1,75000,Kartu Kredit
ORD-1252,2026-07-13T00:00:00.000000,Makanan & Minuman,Yogyakarta,5,100000,E-Wallet
ORD-1253,2026-07-31T00:00:00.000000,Fashion,Semarang,9,500000,Kartu Kredit
ORD-1254,2026-07-02T00:00:00.000000,Kesehatan & Kecantikan,Semarang,7,25000,E-Wallet
ORD-1255,2026-07-07T00:00:00.000000,Fashion,Purworejo,1,150000,Kartu Kredit
ORD-1256,2026-07-20T00:00:00.000000,Kesehatan & Kecantikan,Semarang,8,25000,Kartu Kredit
ORD-1257,2026-07-20T00:00:00.000000,Kesehatan & Kecantikan,Yogyakarta,1,25000,Kartu Kredit
ORD-1258,2026-07-07T00:00:00.000000,Fashion,Purworejo,6,50000,Kartu Kredit
ORD-1259,2026-07-21T00:00:00.000000,Rumah Tangga,Purworejo,2,250000,E-Wallet
ORD-1260,2026-07-21T00:00:00.000000,Elektronik,Yogyakarta,2,250000,COD
ORD-1261,2026-07-26T00:00:00.000000,Elektronik,Yogyakarta,1,25000,E-Wallet
ORD-1262,2026-07-27T00:00:00.000000,Fashion,Purworejo,4,100000,COD
ORD-1263,2026-07-16T00:00:00.000000,Rumah Tangga,Yogyakarta,4,500000,Kartu Kredit
ORD-1264,2026-07-26T00:00:00.000000,Elektronik,Magelang,3,75000,Kartu Kredit
ORD-1265,2026-07-11T00:00:00.000000,Elektronik,Semarang,4,150000,Kartu Kredit
ORD-1266,2026-07-19T00:00:00.000000,Fashion,Yogyakarta,1,250000,Kartu Kredit
ORD-1267,2026-07-25T00:00:00.000000,Kesehatan & Kecantikan,Yogyakarta,2,250000,E-Wallet
ORD-1268,2026-07-13T00:00:00.000000,Rumah Tangga,Yogyakarta,3,75000,Transfer Bank
ORD-1269,2026-07-21T00:00:00.000000,Kesehatan & Kecantikan,Yogyakarta,6,250000,Kartu Kredit
ORD-1270,2026-07-11T00:00:00.000000,Elektronik,Solo,2,75000,Kartu Kredit
ORD-1271,2026-07-30T00:00:00.000000,Kesehatan & Kecantikan,Purworejo,4,50000,Kartu Kredit
ORD-1272,2026-07-11T00:00:00.000000,Elektronik,Yogyakarta,7,100000,Kartu Kredit
ORD-1273,2026-07-31T00:00:00.000000,Elektronik,Semarang,6,500000,Kartu Kredit
ORD-1274,2026-07-09T00:00:00.000000,Rumah Tangga,Yogyakarta,3,50000,Kartu Kredit
ORD-1275,2026-07-29T00:00:00.000000,Fashion,Solo,7,50000,E-Wallet
ORD-1276,2026-07-02T00:00:00.000000,Kesehatan & Kecantikan,Solo,8,150000,Transfer Bank
ORD-1277,2026-07-18T00:00:00.000000,Rumah Tangga,Solo,3,75000,Transfer Bank
ORD-1278,2026-07-31T00:00:00.000000,Makanan & Minuman,Semarang,4,150000,COD
ORD-1279,2026-07-04T00:00:00.000000,Fashion,Solo,5,75000,E-Wallet
ORD-1280,2026-07-06T00:00:00.000000,Kesehatan & Kecantikan,Solo,6,50000,Transfer Bank
